期号,红球,蓝球
2016128,"04,09,11,17,26,27",13
2016129,"05,06,08,21,31,33",14
2016130,"03,17,21,23,27,28",1
2016131,"04,10,18,19,25,27",2
2016132,"05,08,13,19,27,28",7
2016133,"15,16,21,22,27,33",15
2016134,"11,12,13,14,18,33",13
2016135,"02,08,10,18,20,33",12
2016136,"02,07,10,20,27,29",3
2016137,"01,06,09,10,15,32",14
2016138,"07,16,20,24,25,30",7
2016139,"01,06,19,26,28,30",3
2016140,"01,02,05,17,26,32",10
2016141,"04,13,15,17,21,24",15
2016142,"01,10,17,21,23,30",12
2016143,"06,09,23,24,25,33",13
2016144,"04,10,12,27,32,33",5
2016145,"01,03,07,12,19,20",6
2016146,"03,07,15,16,17,23",10
2016147,"04,14,18,28,31,32",12
2016148,"01,02,11,20,26,30",14
2016149,"03,20,23,26,32,33",7
2016150,"02,04,05,09,13,21",5
2016151,"06,11,16,20,22,33",7
2016152,"02,08,09,16,20,22",7
2016153,"07,09,16,24,25,29",6
2017001,"09,11,14,20,25,26",15
2017002,"15,19,23,24,25,32",3
2017003,"01,04,08,15,27,32",16
2017004,"05,13,17,26,27,30",7
2017005,"06,11,12,22,23,30",5
2017006,"02,04,08,26,29,33",8
2017007,"02,04,05,24,26,33",15
2017008,"07,13,15,27,28,29",13
2017009,"02,06,08,09,15,29",14
2017010,"05,08,19,25,28,30",7
2017011,"10,11,12,23,26,29",16
2017012,"10,11,14,15,16,24",7
2017013,"08,11,28,29,31,33",6
2017014,"06,08,18,20,23,31",13
2017015,"01,08,09,14,17,32",1
2017016,"05,08,16,22,27,29",2
2017017,"03,07,08,10,22,23",12
2017018,"01,02,03,17,25,31",9
2017019,"04,06,08,12,23,25",8
2017020,"04,08,10,12,31,33",10
2017021,"02,05,10,22,32,33",9
2017022,"02,06,15,16,18,32",15
2017023,"01,03,04,11,18,22",14
2017024,"09,21,25,26,29,31",13
2017025,"02,15,16,17,22,32",7
2017026,"03,10,12,19,27,30",8
2017027,"02,04,11,14,27,30",5
2017028,"07,08,12,13,22,30",9
2017029,"02,15,21,23,25,30",10
2017030,"01,07,09,20,23,30",2
2017031,"06,10,16,26,27,29",3
2017032,"05,08,15,24,27,31",11
2017033,"05,07,15,20,23,30",15
2017034,"04,07,08,19,32,33",13
2017035,"01,06,14,24,28,32",12
2017036,"01,02,05,10,24,27",15
2017037,"11,15,20,22,25,30",5
2017038,"01,04,08,13,24,27",5
2017039,"02,04,12,14,17,24",15
2017040,"15,19,23,28,29,33",4
2017041,"04,10,13,15,22,27",4
2017042,"01,02,04,07,10,23",4
2017043,"08,13,16,23,27,31",8
2017044,"08,16,19,21,31,32",6
2017045,"05,07,16,20,21,25",5
2017046,"04,13,14,23,26,32",10
2017047,"02,05,08,10,32,33",2
2017048,"05,08,09,14,15,19",7
2017049,"01,08,14,15,20,29",10
2017050,"10,12,20,24,27,29",7
2017051,"02,05,09,15,24,25",11
2017052,"07,08,18,24,29,31",7
2017053,"04,09,11,15,29,31",6
2017054,"02,03,09,23,28,33",8
2017055,"07,12,13,20,24,31",5
2017056,"13,14,18,19,21,28",6
2017057,"18,20,22,23,30,31",16
2017058,"01,09,13,22,28,32",11
2017059,"04,08,09,15,19,25",9
2017060,"05,10,13,24,26,31",4
2017061,"06,07,12,20,26,27",11
2017062,"01,07,22,24,26,31",10
2017063,"12,16,20,22,25,31",4
2017064,"02,10,16,22,24,28",15
2017065,"02,05,08,10,12,21",7
2017066,"01,04,06,17,19,26",3
2017067,"01,03,04,10,18,29",4
2017068,"02,06,10,22,30,31",15
2017069,"02,11,12,23,29,31",5
2017070,"01,06,14,22,25,26",12
2017071,"02,03,06,14,31,32",3
2017072,"06,11,14,23,26,30",2
2017073,"03,06,16,23,26,30",14
2017074,"02,06,16,23,30,31",2
2017075,"01,03,06,19,21,29",7
2017076,"01,04,08,09,14,15",13
2017077,"01,02,04,15,17,22",14
2017078,"05,07,18,19,22,24",16
2017079,"03,07,14,23,25,27",8
2017080,"01,12,16,20,22,24",8
2017081,"03,05,14,25,26,30",5
2017082,"14,18,21,25,28,29",10
2017083,"03,08,14,20,24,26",12
2017084,"01,05,11,20,22,24",2
2017085,"01,05,06,16,25,30",9
2017086,"03,05,06,13,20,22",7
2017087,"03,06,13,14,19,28",6
2017088,"07,09,18,22,23,29",6
2017089,"11,12,13,16,23,25",12
2017090,"01,07,10,16,22,33",9
2017091,"05,07,10,23,28,29",3
2017092,"10,18,19,29,32,33",9
2017093,"07,08,09,15,22,27",12
2017094,"08,11,13,19,28,31",6
2017095,"09,10,12,19,22,29",16
2017096,"02,06,11,12,19,29",6
2017097,"05,10,18,19,30,31",3
2017098,"04,19,22,27,30,33",1
2017099,"02,05,06,16,28,29",4
2017100,"04,07,08,18,23,24",2
2017101,"01,04,11,28,31,32",16
2017102,"04,08,10,14,18,20",11
2017103,"01,21,23,25,31,33",1
2017104,"01,14,15,20,23,30",14
2017105,"03,06,07,12,25,26",7
2017106,"12,15,20,25,27,31",2
2017107,"08,09,15,17,30,32",6
2017108,"07,12,14,15,17,20",1
2017109,"08,14,16,18,21,23",16
2017110,"01,03,12,15,19,23",14
2017111,"05,10,17,19,29,32",12
2017112,"03,10,14,16,22,23",11
2017113,"04,06,16,27,29,33",5
2017114,"06,12,13,15,18,26",13
2017115,"04,10,11,25,30,31",1
2017116,"02,14,20,22,30,32",2
2017117,"01,02,08,11,14,21",9
2017118,"08,09,15,22,30,33",16
2017119,"09,16,21,25,26,31",14
2017120,"08,10,15,19,23,28",16
2017121,"11,18,19,22,24,32",7
2017122,"11,20,21,22,24,27",15
2017123,"04,05,06,11,21,31",10
2017124,"02,06,11,26,28,29",3
2017125,"01,14,23,25,29,30",3
2017126,"01,16,17,21,27,30",16
2017127,"14,15,21,24,27,32",12
2017128,"02,06,13,22,29,31",8
2017129,"05,06,09,14,21,33",2
2017130,"05,13,14,23,25,31",2
2017131,"01,07,10,11,26,27",11
2017132,"02,03,05,09,13,28",11
2017133,"06,15,17,18,23,30",11
2017134,"04,05,11,14,28,32",4
2017135,"01,06,07,14,18,26",16
2017136,"03,07,10,18,21,24",12
2017137,"05,10,20,23,26,31",3
2017138,"01,17,24,28,32,33",2
2017139,"02,14,20,24,28,32",16
2017140,"21,22,25,28,29,30",8
2017141,"01,06,07,11,13,15",5
2017142,"08,13,14,18,23,33",6
2017143,"04,06,09,14,20,29",14
2017144,"03,14,16,20,31,32",9
2017145,"02,06,12,17,25,28",12
2017146,"01,19,25,26,27,33",10
2017147,"03,07,20,21,25,31",14
2017148,"04,07,11,14,29,32",12
2017149,"05,08,15,20,27,30",13
2017150,"06,14,19,20,21,23",8
2017151,"02,05,07,09,11,27",16
2017152,"06,10,23,25,26,29",5
2017153,"07,11,12,13,18,19",16
2017154,"05,09,13,15,18,26",5
2018001,"01,08,11,26,28,31",4
2018002,"07,18,24,29,31,33",16
2018003,"01,14,16,17,20,31",4
2018004,"14,18,19,26,30,31",11
2018005,"02,20,21,28,31,33",6
2018006,"02,07,08,09,17,29",11
2018007,"13,14,20,25,27,31",12
2018008,"05,09,10,12,17,19",13
2018009,"05,10,17,23,26,32",7
2018010,"01,08,17,20,21,22",3
2018011,"03,10,21,23,27,33",11
2018012,"11,12,13,19,26,28",12
2018013,"06,08,13,15,22,33",6
2018014,"09,12,20,24,28,31",7
2018015,"11,15,20,21,26,33",15
2018016,"01,11,12,18,25,27",16
2018017,"03,06,11,26,30,32",12
2018018,"02,12,13,18,25,27",7
2018019,"03,11,12,16,21,23",9
2018020,"06,09,10,14,28,30",5
2018021,"03,04,06,11,23,28",14
2018022,"07,14,19,21,22,23",3
2018023,"12,15,16,21,26,29",16
2018024,"11,19,22,26,31,32",2
2018025,"04,13,16,19,21,25",14
2018026,"04,07,12,14,26,32",4
2018027,"02,07,09,14,18,28",5
2018028,"03,08,11,14,18,23",16
2018029,"01,02,09,14,22,25",5
2018030,"13,14,20,21,25,33",7
2018031,"02,16,18,19,27,30",14
2018032,"21,22,23,24,25,32",6
2018033,"04,19,20,22,28,33",6
2018034,"01,05,11,22,23,26",15
2018035,"07,10,11,17,23,28",15
2018036,"08,17,24,26,28,33",4
2018037,"01,06,07,08,27,30",10
2018038,"15,23,24,25,28,29",9
2018039,"08,12,18,19,23,32",3
2018040,"01,03,08,13,18,23",16
2018041,"07,08,20,23,24,32",13
2018042,"06,10,21,28,29,31",12
2018043,"01,04,06,08,21,24",7
2018044,"05,09,12,17,27,30",6
2018045,"03,04,06,25,26,30",1
2018046,"10,13,14,18,20,31",3
2018047,"06,07,12,16,22,25",7
2018048,"01,12,20,25,30,31",2
2018049,"01,03,04,11,19,23",2
2018050,"01,02,04,10,18,19",7
2018051,"05,07,20,23,27,31",4
2018052,"03,05,06,09,15,32",14
2018053,"01,04,10,11,14,27",6
2018054,"04,06,18,22,25,33",16
2018055,"07,09,10,12,22,26",7
2018056,"01,03,06,20,21,26",1
2018057,"05,15,17,19,20,30",13
2018058,"07,12,13,16,26,31",7
2018059,"04,06,08,13,22,32",11
2018060,"04,08,13,25,30,31",10
2018061,"09,10,11,12,18,23",7
2018062,"02,18,19,24,25,33",11
2018063,"05,06,10,16,20,25",12
2018064,"02,05,10,11,17,21",5
2018065,"01,04,06,14,28,33",1
2018066,"09,16,17,19,22,26",10
2018067,"01,04,09,12,15,18",5
2018068,"08,10,17,20,27,30",1
2018069,"06,13,17,19,23,31",12
2018070,"04,09,15,16,19,27",10
2018071,"02,05,06,13,16,19",3
2018072,"11,16,19,22,25,30",8
2018073,"02,09,14,15,16,23",10
2018074,"09,11,14,20,27,30",9
2018075,"07,09,12,13,22,24",11
2018076,"03,07,08,15,29,30",13
2018077,"02,05,09,15,20,24",10
2018078,"03,10,14,17,18,30",12
2018079,"14,15,17,22,24,29",13
2018080,"04,07,13,20,29,33",3
2018081,"01,02,12,16,20,26",3
2018082,"06,12,14,20,22,24",9
2018083,"04,09,18,21,32,33",3
2018084,"05,06,08,12,22,24",3
2018085,"04,10,25,26,30,33",6
2018086,"02,07,17,21,23,26",16
2018087,"01,05,10,16,18,31",3
2018088,"03,05,12,29,30,32",14
2018089,"06,09,12,14,18,27",14
2018090,"01,02,04,10,14,23",7
2018091,"06,11,13,17,25,32",7
2018092,"06,10,16,19,24,33",16
2018093,"04,18,20,21,29,33",7
2018094,"04,07,16,20,24,30",5
2018095,"10,11,12,21,26,33",9
2018096,"01,05,09,20,28,32",12
2018097,"01,02,17,20,25,28",13
2018098,"06,10,11,20,29,32",13
2018099,"03,07,08,14,25,32",6
2018100,"02,11,14,15,29,33",2
2018101,"01,03,14,26,29,33",9
2018102,"02,06,11,19,21,28",5
2018103,"02,09,15,22,23,24",16
2018104,"02,03,06,19,25,29",1
2018105,"04,05,13,18,19,25",1
2018106,"04,18,19,24,25,26",10
2018107,"01,02,05,12,20,22",1
2018108,"05,13,18,21,26,30",2
2018109,"10,11,18,23,31,33",15
2018110,"11,13,16,21,22,23",2
2018111,"01,07,14,24,25,28",8
2018112,"05,08,18,25,26,31",4
2018113,"01,06,09,16,25,26",9
2018114,"01,07,15,16,20,27",14
2018115,"01,13,19,24,26,29",11
2018116,"05,14,17,22,23,28",15
2018117,"08,11,15,17,23,25",5
2018118,"08,12,21,22,27,31",9
2018119,"03,13,14,16,25,27",12
2018120,"03,04,18,26,27,33",1
2018121,"06,08,14,19,23,25",11
2018122,"05,07,20,22,30,32",10
2018123,"13,21,24,27,31,32",1
2018124,"09,13,14,19,22,25",2
2018125,"03,10,11,14,15,32",2
2018126,"01,06,08,09,14,22",5
2018127,"02,05,06,07,11,15",12
2018128,"06,07,08,19,22,23",2
2018129,"02,04,06,16,18,19",16
2018130,"05,12,17,18,24,28",12
2018131,"21,22,24,31,32,33",1
2018132,"01,02,09,10,15,22",6
2018133,"02,04,11,12,18,32",13
2018134,"03,16,18,31,32,33",12
2018135,"01,03,06,10,11,29",16
2018136,"10,12,15,25,26,27",14
2018137,"03,05,11,15,20,23",9
2018138,"01,10,25,27,30,32",9
2018139,"11,18,20,23,31,32",15
2018140,"01,15,20,22,25,28",14
2018141,"11,14,16,18,24,33",4
2018142,"05,08,10,11,27,28",11
2018143,"04,06,15,28,32,33",14
2018144,"08,13,17,18,20,27",13
2018145,"03,09,13,22,23,25",6
2018146,"02,10,11,17,18,29",16
2018147,"03,15,17,23,27,30",11
2018148,"03,06,18,19,21,31",1
2018149,"01,07,08,10,12,24",1
2018150,"06,08,15,19,20,31",5
2018151,"05,15,19,25,26,29",15
2018152,"04,14,16,23,28,29",3
2018153,"01,07,17,23,25,31",11
2019001,"06,10,13,15,32,33",15
2019002,"04,05,06,08,09,18",11
2019003,"13,17,20,21,22,27",1
2019004,"08,12,16,19,26,32",3
2019005,"21,22,26,28,31,32",7
2019006,"01,05,10,19,26,28",12
2019007,"06,10,14,15,19,23",15
2019008,"02,06,09,13,28,32",12
2019009,"01,07,10,22,31,32",15
2019010,"02,04,05,08,11,30",2
2019011,"10,13,19,21,24,30",7
2019012,"07,10,21,23,31,33",14
2019013,"05,07,14,16,18,21",1
2019014,"01,02,03,14,19,33",3
2019015,"11,15,16,20,24,31",4
2019016,"05,07,09,11,19,25",5
2019017,"04,05,24,28,30,33",9
2019018,"04,11,18,19,26,32",4
2019019,"03,11,17,18,24,25",6
2019020,"02,12,13,23,27,28",12
2019021,"02,05,07,08,20,27",4
2019022,"03,07,11,21,30,33",7
2019023,"01,10,14,15,18,31",13
2019024,"01,08,23,25,28,29",10
2019025,"15,16,21,27,30,33",4
2019026,"03,13,15,19,20,27",14
2019027,"02,06,08,10,11,17",13
2019028,"04,19,22,26,29,30",11
2019029,"08,11,17,23,32,33",10
2019030,"04,05,07,10,12,22",16
2019031,"03,13,15,18,21,33",16
2019032,"04,08,09,13,28,33",4
2019033,"09,15,19,21,23,29",15
2019034,"09,11,15,22,24,26",3
2019035,"01,05,07,09,10,20",16
2019036,"02,10,13,16,23,32",8
2019037,"01,07,12,14,18,25",10
2019038,"09,12,21,27,29,30",5
2019039,"06,07,11,14,27,32",8
2019040,"05,06,09,18,23,31",11
2019041,"02,09,13,23,24,26",16
2019042,"15,17,19,22,25,26",4
2019043,"01,06,12,13,24,32",13
2019044,"06,14,16,17,23,29",7
2019045,"01,06,17,19,27,31",14
2019046,"02,12,16,22,25,32",6
2019047,"03,11,18,25,30,33",14
2019048,"03,07,10,12,18,29",10
2019049,"03,10,13,22,23,28",15
2019050,"04,06,10,11,21,23",2
2019051,"08,09,10,13,15,28",9
2019052,"03,06,09,13,16,19",16
2019053,"04,16,22,25,29,31",8
2019054,"07,10,11,15,24,26",11
2019055,"01,06,11,15,19,31",10
2019056,"13,14,17,19,21,29",1
2019057,"04,05,06,08,13,18",16
2019058,"07,08,12,21,23,27",12
2019059,"04,05,07,09,16,18",6
2019060,"03,04,14,20,23,27",1
2019061,"03,17,19,24,27,31",12
2019062,"07,13,16,23,26,30",1
2019063,"01,14,19,22,29,31",16
2019064,"12,20,24,25,30,33",12
2019065,"06,09,11,15,20,26",10
2019066,"01,14,17,20,22,32",4
2019067,"04,06,08,11,30,33",11
2019068,"03,14,20,24,26,33",10
2019069,"06,11,16,19,21,25",1
2019070,"06,15,18,19,24,32",9
2019071,"01,08,19,24,29,30",4
2019072,"02,09,13,15,22,30",15
2019073,"01,02,06,12,16,18",8
2019074,"12,21,27,29,31,33",4
2019075,"05,08,20,22,31,33",3
2019076,"12,15,19,20,29,32",14
2019077,"09,11,13,18,21,22",15
2019078,"01,17,27,29,31,33",12
2019079,"01,03,06,09,19,31",16
2019080,"03,06,08,20,24,32",7
2019081,"05,24,27,29,31,32",10
2019082,"07,16,19,22,24,28",2
2019083,"06,15,17,26,28,31",3
2019084,"04,08,14,18,20,27",3
2019085,"01,04,14,18,24,29",4
2019086,"16,22,24,26,28,31",6
2019087,"04,05,07,09,21,30",4
2019088,"13,14,15,21,23,29",13
2019089,"02,04,14,16,20,22",11
2019090,"02,03,06,08,14,22",4
2019091,"07,10,21,24,29,32",11
2019092,"09,17,27,28,32,33",8
2019093,"05,07,08,09,20,22",2
2019094,"05,10,12,18,19,27",6
2019095,"02,05,14,19,21,28",1
2019096,"05,07,12,18,27,32",11
2019097,"03,05,18,24,25,31",9
2019098,"03,11,12,14,17,26",9
2019099,"07,14,22,23,27,30",8
2019100,"01,04,12,13,30,32",8
2019101,"01,04,09,21,31,33",5
2019102,"03,08,12,16,20,32",12
2019103,"04,12,14,21,27,29",12
2019104,"01,05,16,17,18,24",10
2019105,"02,13,15,17,26,33",1
2019106,"02,14,22,27,30,33",14
2019107,"02,06,08,23,27,32",2
2019108,"07,13,19,22,25,32",13
2019109,"03,06,07,17,28,31",10
2019110,"01,18,22,26,27,28",8
2019111,"07,18,20,22,24,33",1
2019112,"03,12,14,17,23,27",1
2019113,"01,05,19,21,25,33",15
2019114,"02,04,09,11,12,30",1
2019115,"04,10,11,14,15,29",5
2019116,"01,08,09,13,16,33",1
2019117,"03,05,11,28,32,33",1
2019118,"12,14,15,25,28,31",4
2019119,"04,20,22,24,26,33",7
2019120,"10,12,27,31,32,33",3
2019121,"02,06,15,21,30,31",2
2019122,"04,10,15,19,21,23",2
2019123,"02,06,08,17,28,30",6
2019124,"04,09,30,31,32,33",1
2019125,"02,11,12,26,27,29",3
2019126,"02,14,17,29,32,33",16
2019127,"02,06,07,12,17,24",10
2019128,"03,08,12,16,17,19",8
2019129,"03,04,07,09,15,26",7
2019130,"01,07,09,11,24,32",16
2019131,"09,17,19,20,24,31",4
2019132,"04,06,11,14,19,33",7
2019133,"03,07,16,21,24,31",7
2019134,"01,04,06,22,29,30",3
2019135,"03,06,10,11,27,33",3
2019136,"12,14,15,17,29,33",12
2019137,"07,10,13,19,23,31",6
2019138,"02,06,12,30,31,32",11
2019139,"08,14,20,23,30,33",11
2019140,"02,04,09,11,14,22",5
2019141,"10,13,14,15,17,33",14
2019142,"08,14,24,27,29,33",9
2019143,"05,13,15,16,26,32",9
2019144,"02,12,15,19,27,30",3
2019145,"01,08,13,17,18,19",16
2019146,"01,04,10,12,30,32",14
2019147,"01,09,12,14,23,27",12
2019148,"09,10,13,20,26,27",8
2019149,"01,06,27,28,31,33",7
2019150,"02,09,14,22,27,29",2
2019151,"02,06,09,18,24,26",14
2020001,"02,15,23,26,29,30",2
2020002,"04,09,14,15,16,29",11
2020003,"09,17,26,29,30,32",3
2020004,"02,15,17,27,32,33",3
2020005,"11,16,17,22,26,32",4
2020006,"03,04,05,10,16,32",9
2020007,"05,12,17,20,25,31",10
2020008,"01,04,06,10,11,28",16
2020009,"03,06,08,14,19,26",12
2020010,"11,14,22,27,31,32",9
2020011,"04,05,07,17,18,29",1
2020012,"04,13,14,23,26,31",9
2020013,"02,08,10,20,21,30",14
2020014,"02,07,08,10,12,16",7
2020015,"08,09,22,24,30,33",1
2020016,"05,06,08,17,24,27",7
2020017,"02,04,07,15,20,27",4
2020018,"05,07,08,11,17,22",13
2020019,"15,19,27,28,30,33",3
2020020,"01,06,09,13,15,22",14
2020021,"02,06,14,16,27,31",7
2020022,"02,10,20,22,25,30",2
2020023,"04,05,20,21,30,33",8
2020024,"10,13,27,28,29,31",8
2020025,"01,09,10,15,20,29",2
2020026,"01,04,09,18,19,31",6
2020027,"12,13,14,24,25,28",6
2020028,"05,06,15,18,26,32",8
2020029,"01,12,18,20,30,32",5
2020030,"17,18,21,29,30,32",3
2020031,"02,05,09,15,16,27",9
2020032,"03,11,13,14,15,26",13
2020033,"07,10,12,21,31,32",1
2020034,"02,08,15,16,26,32",3
2020035,"10,14,24,25,28,33",11
2020036,"07,09,16,22,24,32",6
2020037,"01,04,11,13,17,24",15
2020038,"01,06,07,18,23,24",15
2020039,"02,09,10,11,16,29",2
2020040,"01,06,12,16,19,21",4
2020041,"06,07,16,22,24,25",13
2020042,"02,06,07,11,14,31",3
2020043,"01,11,24,25,27,30",7
2020044,"07,08,16,17,19,24",7
2020045,"02,03,15,21,22,33",16
2020046,"13,19,25,26,27,32",8
2020047,"04,10,17,19,28,32",1
2020048,"12,14,18,23,30,32",2
2020049,"01,07,09,12,18,22",4
2020050,"04,09,17,20,32,33",15
2020051,"03,06,08,11,19,28",8
2020052,"02,08,13,29,32,33",15
2020053,"02,14,15,16,32,33",1
2020054,"03,10,19,25,26,31",2
2020055,"01,05,07,23,28,30",12
2020056,"02,05,08,12,26,31",14
2020057,"09,14,21,23,26,32",3
2020058,"01,03,11,12,19,26",7
2020059,"02,04,10,17,22,25",14
2020060,"05,09,14,20,24,30",8
2020061,"08,17,24,26,27,31",4
2020062,"10,14,17,22,26,27",5
2020063,"12,15,16,22,29,32",14
2020064,"01,03,07,21,27,32",1
2020065,"09,15,18,21,23,26",8
2020066,"02,09,13,17,26,28",7
2020067,"04,07,09,23,27,30",8
2020068,"12,16,21,26,27,32",10
2020069,"03,09,10,13,18,26",4
2020070,"01,02,04,06,19,21",15
2020071,"09,11,12,13,22,23",8
2020072,"06,08,10,15,17,26",4
2020073,"05,07,11,13,27,29",3
2020074,"04,08,09,13,19,33",12
2020075,"03,11,13,20,24,30",16
2020076,"10,15,16,18,20,27",6
2020077,"03,10,16,21,25,27",12
2020078,"03,11,14,16,21,32",4
2020079,"05,12,20,21,22,29",14
2020080,"14,15,18,22,31,33",1
2020081,"01,05,13,14,27,33",15
2020082,"02,08,11,17,21,30",9
2020083,"01,19,25,26,30,31",12
2020084,"03,07,16,17,23,30",7
2020085,"01,02,05,09,19,24",16
2020086,"02,04,06,15,24,27",6
2020087,"11,15,20,23,25,33",10
2020088,"01,06,12,26,29,30",12
2020089,"02,14,16,21,29,30",10
2020090,"02,21,23,26,31,32",6
2020091,"01,09,11,12,16,19",16
2020092,"01,06,12,18,22,24",3
2020093,"04,05,10,13,15,19",15
2020094,"10,15,17,27,29,31",8
2020095,"03,09,16,17,20,26",2
2020096,"01,20,23,26,27,32",15
2020097,"02,08,21,25,26,30",10
2020098,"06,08,11,22,25,33",2
2020099,"05,06,11,12,15,30",12
2020100,"01,07,15,16,20,23",7
2020101,"10,17,24,25,28,30",15
2020102,"09,10,19,25,26,29",8
2020103,"04,09,10,22,28,32",8
2020104,"04,08,10,16,27,29",9
2020105,"06,14,19,20,22,24",1
2020106,"02,04,11,15,18,28",10
2020107,"03,09,11,24,25,28",16
2020108,"10,12,15,17,23,32",5
2020109,"06,13,16,20,23,32",13
2020110,"02,06,09,14,22,25",4
2020111,"06,09,17,22,24,26",16
2020112,"02,09,12,17,28,32",5
2020113,"01,03,07,10,22,32",11
2020114,"01,05,11,24,30,32",3
2020115,"01,04,12,20,25,32",2
2020116,"05,06,14,16,19,27",10
2020117,"07,08,09,10,16,27",7
2020118,"11,13,19,26,30,33",5
2020119,"01,09,22,28,32,33",15
2020120,"01,02,03,04,09,10",12
2020121,"02,04,06,21,25,29",3
2020122,"12,15,17,24,26,31",15
2020123,"01,03,18,19,26,29",3
2020124,"16,18,19,20,29,33",12
2020125,"05,12,16,26,30,31",13
2020126,"03,07,12,14,23,28",11
2020127,"01,04,18,19,26,31",7
2020128,"08,10,15,16,23,26",10
2020129,"01,02,05,15,28,33",4
2020130,"08,09,11,14,17,29",16
2020131,"08,19,22,26,27,30",7
2020132,"01,04,11,12,14,23",4
2020133,"03,19,22,23,27,29",7
2020134,"02,09,10,20,22,26",1
2021001,"02,03,13,18,20,31",11
2021002,"06,10,13,25,26,32",11
2021003,"06,09,16,18,22,29",11
2021004,"02,03,07,08,17,22",15
2021005,"07,09,14,26,30,31",4
2021006,"06,08,22,24,25,26",1
2021007,"02,04,12,21,25,32",16
2021008,"01,05,07,14,18,33",7
2021009,"02,04,07,24,25,32",13
2021010,"01,04,11,19,32,33",5
2021011,"05,10,16,23,27,33",14
2021012,"03,06,14,18,20,26",1
2021013,"06,09,12,16,27,31",6
2021014,"04,15,21,25,29,33",6
2021015,"06,14,16,26,28,29",7
2021016,"03,08,09,13,15,18",10
2021017,"09,15,18,29,32,33",2
2021018,"02,08,14,23,25,32",6
2021019,"12,16,17,24,28,29",8
2021020,"01,03,06,07,09,11",2
2021021,"04,08,17,24,28,33",13
2021022,"10,15,17,25,31,32",6
2021023,"02,21,22,23,27,28",11
2021024,"01,04,06,10,11,18",2
2021025,"06,08,14,17,18,30",11
2021026,"03,05,13,19,20,25",3
2021027,"05,07,09,16,20,26",8
2021028,"11,16,23,26,27,33",5
2021029,"08,10,15,17,22,30",12
2021030,"08,09,13,27,29,31",5
2021031,"06,11,21,25,28,31",7
2021032,"01,05,08,15,16,30",3
2021033,"02,12,13,14,31,33",6
2021034,"04,10,12,18,23,25",1
2021035,"12,14,18,20,26,28",11
2021036,"01,02,06,11,21,26",11
2021037,"13,17,19,24,26,30",12
2021038,"05,07,09,16,18,27",6
2021039,"02,08,21,24,29,31",13
2021040,"02,06,07,24,28,29",16
2021041,"02,09,18,23,26,32",14
2021042,"05,09,10,22,25,27",8
2021043,"02,03,17,18,23,24",1
2021044,"05,07,14,17,26,28",13
2021045,"01,04,14,15,17,32",2
2021046,"05,09,13,21,28,33",6
2021047,"03,07,13,16,24,29",1
2021048,"04,15,17,22,29,32",3
2021049,"04,11,13,22,25,32",1
2021050,"02,09,10,16,25,28",8
2021051,"08,09,10,19,27,29",15
2021052,"03,04,06,19,21,30",14
2021053,"07,10,14,16,24,33",16
2021054,"07,13,21,22,24,31",2
2021055,"03,11,12,16,22,28",10
2021056,"08,21,22,23,29,32",1
2021057,"05,06,09,17,25,33",16
2021058,"09,11,13,18,19,28",14
2021059,"01,09,11,18,32,33",14
2021060,"10,11,17,20,29,30",15
2021061,"04,09,12,18,20,23",1
2021062,"12,13,15,20,22,25",10
2021063,"04,05,06,09,23,24",9
2021064,"04,06,08,15,16,18",16
2021065,"01,04,08,19,29,33",16
2021066,"02,06,19,26,30,33",15
2021067,"01,11,19,23,25,29",9
2021068,"04,14,18,24,31,32",15
2021069,"06,11,18,20,23,26",5
2021070,"01,05,11,15,16,29",15
2021071,"01,07,24,31,32,33",8
2021072,"01,09,15,16,19,21",15
2021073,"01,06,18,22,24,25",8
2021074,"04,05,09,14,25,27",7
2021075,"12,15,16,21,22,29",1
2021076,"03,09,21,23,30,32",6
2021077,"08,15,17,25,27,30",10
2021078,"04,06,15,26,27,31",12
2021079,"01,03,10,24,28,29",13
2021080,"05,08,22,23,24,29",9
2021081,"01,03,05,18,22,23",1
2021082,"03,06,11,13,26,32",5
2021083,"04,09,11,25,28,33",4
2021084,"05,07,09,11,21,28",1
2021085,"05,06,07,11,14,20",2
2021086,"06,08,10,14,28,29",1
2021087,"02,13,16,19,23,24",4
2021088,"04,12,15,16,19,26",6
2021089,"01,02,07,13,23,24",12
2021090,"05,06,12,14,27,28",8
2021091,"04,06,16,24,26,33",16
2021092,"02,07,08,10,12,31",3
2021093,"05,11,15,23,28,33",3
2021094,"09,11,24,25,28,33",15
2021095,"08,12,17,24,27,28",13
2021096,"01,07,11,14,15,26",11
2021097,"03,11,12,13,25,28",12
2021098,"01,10,13,18,26,32",5
2021099,"09,11,17,18,20,27",15
2021100,"07,09,12,13,14,29",16
2021101,"02,04,12,22,29,31",1
2021102,"05,09,15,24,27,30",9
2021103,"10,13,15,25,29,30",15
2021104,"01,07,17,20,22,28",15
2021105,"10,14,15,22,27,32",9
2021106,"01,04,07,14,30,31",3
2021107,"02,03,17,19,25,30",1
2021108,"11,15,18,24,26,32",9
2021109,"02,03,10,17,20,26",16
2021110,"10,13,15,24,31,32",2
2021111,"17,20,22,23,26,28",6
2021112,"05,06,21,25,28,33",7
2021113,"04,07,10,22,27,30",2
2021114,"04,06,08,14,24,27",2
2021115,"02,10,12,15,24,27",8
2021116,"06,14,17,18,31,33",6
2021117,"03,05,17,21,27,33",4
2021118,"02,06,14,18,20,31",13
