期号,红球,蓝球
2013022,"02,04,07,09,15,20",7
2013023,"03,06,15,18,30,32",5
2013024,"04,05,13,23,27,30",9
2013025,"16,17,18,24,25,30",8
2013026,"04,11,14,15,22,31",11
2013027,"01,02,04,12,21,24",12
2013028,"07,08,14,25,26,28",13
2013029,"06,07,10,19,23,29",12
2013030,"07,14,18,25,26,29",6
2013031,"03,13,14,15,21,33",3
2013032,"04,21,25,29,30,33",3
2013033,"05,06,13,17,19,28",1
2013034,"06,15,20,22,26,33",9
2013035,"01,14,15,17,26,30",2
2013036,"04,05,09,27,29,31",13
2013037,"02,15,18,27,28,32",14
2013038,"09,10,12,14,15,19",11
2013039,"01,02,14,15,24,29",6
2013040,"02,04,10,12,17,30",10
2013041,"02,10,12,17,23,24",5
2013042,"01,08,12,13,15,33",3
2013043,"03,06,14,15,17,25",16
2013044,"03,05,11,18,26,28",6
2013045,"06,07,08,14,23,31",12
2013046,"03,16,19,20,24,26",6
2013047,"01,08,11,17,27,30",12
2013048,"10,13,17,28,30,32",4
2013049,"10,13,14,16,21,32",14
2013050,"03,07,13,18,22,25",3
2013051,"08,12,15,19,28,29",2
2013052,"06,07,14,21,22,24",13
2013053,"03,12,13,22,30,33",14
2013054,"03,04,08,14,21,28",14
2013055,"08,18,19,22,27,32",6
2013056,"03,12,25,26,28,29",16
2013057,"13,16,19,23,26,28",5
2013058,"08,11,17,21,23,24",5
2013059,"03,10,18,24,27,29",9
2013060,"05,07,10,13,19,20",15
2013061,"05,06,07,12,13,18",12
2013062,"01,06,07,19,22,27",2
2013063,"10,15,18,20,23,31",12
2013064,"01,09,13,22,25,32",12
2013065,"07,18,19,23,29,30",2
2013066,"01,03,16,17,20,32",7
2013067,"01,04,09,15,22,30",6
2013068,"02,07,13,20,25,27",6
2013069,"07,16,17,18,30,33",6
2013070,"02,03,09,10,28,30",6
2013071,"05,12,21,23,26,28",9
2013072,"02,08,11,14,19,33",9
2013073,"02,09,13,17,20,28",11
2013074,"03,06,08,14,19,32",3
2013075,"04,06,09,25,30,33",14
2013076,"14,23,24,26,29,30",3
2013077,"09,14,23,24,26,29",3
2013078,"03,05,17,18,26,27",15
2013079,"07,13,17,19,22,26",13
2013080,"10,11,12,23,28,32",16
2013081,"01,04,10,13,21,31",13
2013082,"04,13,14,20,22,30",6
2013083,"05,06,12,14,19,23",9
2013084,"05,07,09,11,20,21",3
2013085,"02,08,12,14,16,32",16
2013086,"02,04,11,13,16,26",11
2013087,"02,13,19,23,24,28",5
2013088,"09,15,20,21,22,24",14
2013089,"04,08,12,19,21,25",13
2013090,"02,05,11,23,24,29",8
2013091,"04,14,24,25,28,31",10
2013092,"07,11,15,21,26,31",6
2013093,"01,02,08,26,29,31",14
2013094,"02,04,14,18,20,22",7
2013095,"01,06,15,19,28,29",10
2013096,"01,02,22,28,29,30",15
2013097,"05,14,17,22,23,25",7
2013098,"07,15,18,19,20,26",14
2013099,"05,11,20,21,26,31",3
2013100,"04,08,11,14,16,20",11
2013101,"05,07,09,23,27,32",1
2013102,"02,04,05,06,08,16",3
2013103,"02,04,09,13,18,20",7
2013104,"01,02,04,15,17,28",11
2013105,"01,11,23,27,31,32",9
2013106,"09,11,23,30,31,32",6
2013107,"07,09,11,17,28,31",11
2013108,"16,21,22,28,31,32",5
2013109,"09,23,24,27,29,32",8
2013110,"15,17,18,21,29,32",13
2013111,"01,02,03,06,08,33",13
2013112,"01,06,12,13,22,31",7
2013113,"04,07,11,17,24,33",9
2013114,"04,06,17,21,23,33",7
2013115,"03,12,16,17,18,27",8
2013116,"12,15,21,26,32,33",7
2013117,"09,12,13,24,27,33",16
2013118,"02,03,17,22,32,33",16
2013119,"05,15,20,22,26,32",9
2013120,"05,06,13,18,23,31",11
2013121,"04,05,06,07,25,27",7
2013122,"07,10,13,15,26,27",11
2013123,"01,02,06,11,17,25",2
2013124,"03,09,15,23,25,30",7
2013125,"04,06,08,18,25,28",16
2013126,"04,10,19,27,31,33",16
2013127,"02,03,13,20,22,33",14
2013128,"07,13,17,19,25,31",8
2013129,"05,06,10,14,27,31",14
2013130,"01,03,15,16,31,33",8
2013131,"04,06,12,17,19,26",9
2013132,"20,21,22,23,25,27",12
2013133,"04,07,12,19,22,25",1
2013134,"01,17,18,19,25,29",10
2013135,"09,23,24,25,29,31",12
2013136,"04,06,14,16,18,26",6
2013137,"04,17,19,23,24,27",10
2013138,"04,15,16,24,27,28",3
2013139,"07,08,11,13,21,27",8
2013140,"01,05,12,13,21,22",10
2013141,"03,04,05,25,30,31",4
2013142,"11,12,14,20,22,29",14
2013143,"12,18,21,22,27,32",11
2013144,"05,07,12,19,27,31",2
2013145,"06,10,13,16,23,24",15
2013146,"08,20,25,30,32,33",1
2013147,"02,15,16,17,19,30",8
2013148,"06,11,12,14,17,22",1
2013149,"09,18,25,26,30,32",11
2013150,"01,15,16,25,26,29",10
2013151,"03,09,10,19,28,33",9
2013152,"04,06,14,16,18,29",5
2013153,"08,11,13,18,28,33",10
2013154,"07,11,14,19,24,29",5
2014001,"03,09,15,20,27,29",1
2014002,"04,21,23,31,32,33",4
2014003,"06,10,11,28,30,33",12
2014004,"01,04,19,22,24,25",15
2014005,"15,18,23,27,32,33",4
2014006,"03,04,07,17,21,27",14
2014007,"08,10,12,14,18,28",14
2014008,"05,14,16,21,29,30",12
2014009,"08,09,19,20,25,32",16
2014010,"05,07,08,20,31,33",11
2014011,"09,10,13,14,21,32",2
2014012,"01,08,11,19,21,24",8
2014013,"05,09,13,15,17,21",13
2014014,"04,09,19,22,25,29",15
2014015,"02,11,19,30,32,33",9
2014016,"02,03,07,13,21,24",8
2014017,"04,06,07,14,25,26",10
2014018,"13,17,18,21,30,33",15
2014019,"02,10,15,19,20,21",7
2014020,"09,14,17,23,24,25",15
2014021,"08,10,15,17,22,29",12
2014022,"04,06,07,10,21,26",16
2014023,"07,09,13,17,21,22",10
2014024,"08,10,16,20,23,30",9
2014025,"01,05,10,14,16,30",16
2014026,"01,02,05,06,11,23",14
2014027,"08,10,14,16,30,31",1
2014028,"06,16,21,27,30,32",5
2014029,"02,07,14,16,21,29",14
2014030,"12,18,19,23,24,30",10
2014031,"04,10,16,17,21,27",14
2014032,"01,02,14,22,29,33",7
2014033,"05,13,23,28,32,33",12
2014034,"01,03,04,08,25,31",6
2014035,"07,08,09,17,32,33",6
2014036,"01,07,08,09,11,22",3
2014037,"06,13,14,24,25,30",7
2014038,"04,07,22,23,24,33",16
2014039,"03,11,15,19,20,31",7
2014040,"03,04,06,11,12,15",8
2014041,"07,11,16,18,21,22",2
2014042,"12,15,20,25,28,33",14
2014043,"02,05,09,14,24,33",9
2014044,"04,09,21,27,28,33",12
2014045,"02,04,09,11,19,22",15
2014046,"02,10,11,17,18,22",10
2014047,"08,10,11,12,19,29",15
2014048,"06,09,16,17,24,25",16
2014049,"06,07,16,17,23,32",6
2014050,"03,17,23,25,26,32",13
2014051,"10,16,19,21,23,24",13
2014052,"09,13,15,28,30,33",8
2014053,"14,17,19,22,26,31",2
2014054,"01,04,05,11,29,30",14
2014055,"02,09,14,19,21,30",4
2014056,"01,11,18,20,28,29",1
2014057,"02,04,12,18,23,31",8
2014058,"02,03,12,13,14,25",11
2014059,"05,08,12,13,23,25",13
2014060,"03,05,14,18,25,33",6
2014061,"02,14,17,27,28,31",8
2014062,"06,09,15,24,25,26",9
2014063,"03,08,17,21,22,31",16
2014064,"02,09,15,16,29,32",14
2014065,"03,04,05,08,10,22",6
2014066,"02,05,15,17,18,21",16
2014067,"01,06,07,17,18,23",6
2014068,"04,12,13,22,27,29",16
2014069,"05,12,17,19,25,30",11
2014070,"01,07,09,19,28,29",7
2014071,"02,04,12,17,22,25",14
2014072,"01,03,07,13,19,32",16
2014073,"01,12,16,20,30,33",2
2014074,"01,03,06,13,30,31",12
2014075,"03,09,11,22,27,29",6
2014076,"06,10,12,17,18,33",11
2014077,"08,09,12,15,19,22",10
2014078,"02,03,05,06,09,17",7
2014079,"02,07,16,22,27,28",2
2014080,"05,14,16,17,25,30",7
2014081,"08,14,22,24,27,29",10
2014082,"02,04,20,25,26,29",11
2014083,"05,06,19,21,23,33",12
2014084,"01,06,09,10,13,25",8
2014085,"01,02,11,19,23,29",8
2014086,"02,04,10,12,14,30",8
2014087,"06,18,22,23,32,33",6
2014088,"03,06,11,14,16,29",15
2014089,"04,06,14,17,27,30",9
2014090,"05,09,11,19,24,32",13
2014091,"01,05,12,19,27,29",14
2014092,"03,13,18,19,22,26",7
2014093,"02,08,09,10,20,29",5
2014094,"01,10,18,20,23,29",1
2014095,"05,06,08,14,22,31",8
2014096,"12,14,17,19,22,24",8
2014097,"07,13,24,25,27,32",15
2014098,"02,13,17,20,29,31",7
2014099,"01,05,10,11,13,32",14
2014100,"01,06,09,10,14,16",11
2014101,"16,18,20,23,24,32",7
2014102,"14,16,21,24,28,31",13
2014103,"03,08,09,10,18,33",4
2014104,"02,06,12,19,27,28",13
2014105,"14,16,17,19,27,32",4
2014106,"09,14,17,18,21,25",15
2014107,"11,14,17,22,25,27",16
2014108,"03,08,09,20,23,28",2
2014109,"02,05,11,15,19,28",2
2014110,"01,08,11,13,19,30",6
2014111,"02,08,17,20,22,28",2
2014112,"01,15,16,21,24,30",3
2014113,"12,14,28,31,32,33",7
2014114,"02,07,23,30,32,33",10
2014115,"01,09,10,11,13,32",3
2014116,"09,10,14,15,19,29",16
2014117,"05,10,17,25,28,29",4
2014118,"05,07,15,18,26,30",3
2014119,"06,13,17,20,26,29",9
2014120,"01,07,12,16,23,28",4
2014121,"01,02,13,22,28,30",9
2014122,"06,09,11,16,20,29",11
2014123,"01,06,11,17,28,33",5
2014124,"02,17,20,24,31,33",4
2014125,"10,11,15,26,31,32",6
2014126,"06,11,16,17,22,27",1
2014127,"02,10,12,21,23,27",12
2014128,"05,07,08,17,18,24",14
2014129,"05,08,09,20,28,32",2
2014130,"01,02,10,24,30,33",10
2014131,"05,17,21,22,28,32",14
2014132,"05,06,14,15,18,33",8
2014133,"13,14,16,23,30,31",13
2014134,"05,16,22,23,26,28",2
